コード,銘柄名
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信
1308,上場インデックスファンドＴＯＰＩＸ
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００
1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動型上場投信
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信
1326,ＳＰＤＲゴールド・シェア
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ
1330,上場インデックスファンド２２５
133A,グローバルＸ　超短期米国債　ＥＴＦ
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型
1346,ＭＡＸＩＳ　日経２２５上場投信
1348,ＭＡＸＩＳ　トピックス上場投信
1349,ＡＢＦ汎アジア債券インデックス・ファンド
1356,ＴＯＰＩＸベア２倍上場投信
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信
1358,上場インデックスファンド日経レバレッジ指数
1360,日経平均ベア２倍上場投信
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数
1369,Ｏｎｅ　ＥＴＦ　日経２２５
1397,ＳＭＤＡＭ　日経２２５上場投信
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型
1464,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００レバレッジ・インデックス
