コード,銘柄名,類似米国ETFティッカー
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,EWJ
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,EWJ
1308,上場インデックスファンドＴＯＰＩＸ,EWJ
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ASHR
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,EWJ
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,EWJ
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,NKY
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,NKY
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ASHR
1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動型上場投信,RSX
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,EWZ
1326,ＳＰＤＲゴールド・シェア,GLD
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,GLD
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,NKY
1330,上場インデックスファンド２２５,NKY
133A,グローバルＸ　超短期米国債　ＥＴＦ,SHV
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,VNQ
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,VNQ
1346,ＭＡＸＩＳ　日経２２５上場投信,NKY
1348,ＭＡＸＩＳ　トピックス上場投信,EWJ
1349,ＡＢＦ汎アジア債券インデックス・ファンド,EMB
1356,ＴＯＰＩＸベア２倍上場投信,SPXU
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,SPXU
1358,上場インデックスファンド日経レバレッジ指数,UPRO
1360,日経平均ベア２倍上場投信,SPXU
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,EWJ
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,UPRO
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,SPXU
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,UPRO
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,SPXU
1369,Ｏｎｅ　ＥＴＦ　日経２２５,NKY
1397,ＳＭＤＡＭ　日経２２５上場投信,NKY
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,VNQ
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,HDV
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,TBX
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,SH
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,SH
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,UPRO
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,SPXU
1464,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００レバレッジ・インデックス,UPRO
1465,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００インバース・インデックス,SH
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,SPXU
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,SPXU
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,SPXU
1473,Ｏｎｅ　ＥＴＦ　トピックス,EWJ
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,EWJ
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,EWJ
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,VNQ
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,USMV
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,HDV
