security_name,security_code
さくらインターネット,3778.JP
キタック,4707.JP
ＡＮＹＣＯＬＯＲ,5032.JP
地盤ネットホールディングス,6072.JP
日本電信電話,9432.JP
ISHARESCORE BOND,AGG
ARCHER DANIELS,ADM
ブラックロック・スーパー・マネー・マーケット・ファンド（米ドル） X0934000,USDJPY=X
eMAXIS Slim 先進国債券インデックス,BND
VA TTL INTL BOND,BNDX
COINBASE GLOBAL,COIN
DRX CH INET BL2X,CWEB
Direxionデイリー中ネット指数株ブル2倍ETF CWEB / NYSE ARCA,CWEB
DRX HEALTHC BL3X,CURE
Direxionデイリーヘルスケア株ブル3倍ETF CURE / NYSE ARCA,CURE
WALT DISNEY CO,DIS
DLOCAL LTD,DLO
VA EXTD DURAT TR,EDV
バンガード 超長期米国債 ETF EDV / NYSE ARCA,EDV
GLX ECMMERCE ETF,EBIZ
iFreeNEXT FANG+インデックス,FNGU
ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス,FNGU
ＳＰＤＲゴールド・シェア　受益証券,GLD
ＳＰＤＲゴールド・シェア,GLD
SPDR GOLD MINI,GLD
SPDRゴールド ミニシェアーズ トラスト GLDM / NYSE ARCA,GLD
SMT ゴールドインデックス・オープン(為替ヘッジなし),GLD
Tracers S&P500ゴールドプラス,GLD
ゴールド・ファンド(為替ヘッジなし),GLD
ＳＢＩ・ｉシェアーズ・ゴールドファンド（為替ヘッジなし）,GLD
GBLX US PREFERRD,PFF
SMT MIRAIndex エコ,ICLN
ａｕＡＭ　Ｎｉｆｔｙ５０インド株ファンド,INDA
auAM Nifty50インド株ファンド,INDA
ＩＳ米国債７−１０ＥＴＦ,IEF
ＮＦ米債７−１０ヘッジ無,IEF
LYFT INC,LYFT.US
MARATHON DIGITAL,MARA
マラソン デジタル ホールディングス MARA / NASDAQ,MARA
MORGAN STANLEY,MS
MICROSTRATEGY,MSTR
MICRON TECH,MU
マイクロン テクノロジー MU / NASDAQ,MU
モザイク MOS / New York Stock Exchange,MOS
マイクロソフト MSFT / NASDAQ,MSFT.US
エヌビディア NVDA / NASDAQ,NVDA
Tracers S&P500配当貴族インデックス(米国株式),NOBL
Ｔｒａｃｅｒｓ　Ｓ＆Ｐ５００配当貴族インデックス（米国株式）,NOBL
PDD HOLDINGS INC,PDD
PALANTIR TECHNO,PLTR
PELOTON INTERACT,PTON
グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,PFFD
上場ＮＳＱ１００ヘッジ無,QQQ
ＭＸＳナスダック１００ＥＴＦ,QQQ
ＮＦＮＡＳＤＡＱ,QQQ
ＮＦナスダックヘッジ無,QQQ
ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ−１００（為替ヘッジなし）,QQQ
iFreeNEXT NASDAQ100インデックス,QQQ
＜購入・換金手数料なし＞ニッセイＮＡＳＤＡＱ１００インデ,QQQ
ｉＦｒｅｅＮＥＸＴ　ＮＡＳＤＡＱ１００インデックス,QQQ
